Year,UNIT_MEASURE,Value,M49_country_code
2015,Percent,12.0,KAZ
2016,Percent,15.2,KAZ
2017,Percent,25.0,KAZ
2018,Percent,50.0,KAZ
2019,Percent,100.0,KAZ
2020,Percent,100.0,KAZ
