Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code
2010,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Soltustik Kazakhstan,8.0,KAZ
2010,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Turkistan,4.0,KAZ
2010,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Shygys Kazakhstan,49.0,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],,12317.8,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Akmola,373.7,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Aktobe,47.3,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Almaty,1797.6,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Atyrau,15.8,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Batys Kazakhstan,103.3,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Zhambyl,2213.6,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Karagandy,155.4,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Kostanay,222.4,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Kyzylorda,3094.7,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Mangistau,122.7,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Pavlodar,247.0,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Soltustik Kazakhstan,530.2,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Turkistan,1603.4,KAZ
2010,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Shygys Kazakhstan,1800.8,KAZ
2011,thousands hectares,_L_KZ_150201_1A,,12452.0,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Akmola,378.6,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Aktobe,47.2,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Almaty,1850.9,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Atyrau,15.8,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Batys Kazakhstan,104.6,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Zhambyl,2219.6,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Karagandy,155.4,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Kostanay,223.7,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Kyzylorda,3088.2,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Mangistau,122.8,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Pavlodar,249.9,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Soltustik Kazakhstan,529.4,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Turkistan,1603.4,KAZ
2011,thousands hectares,_L_KZ_150201_1A,Shygys Kazakhstan,1862.5,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],,380.7,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Akmola,42.7,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Aktobe,1.0,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Almaty,38.7,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Atyrau,0.5,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Batys Kazakhstan,8.0,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Zhambyl,3.4,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Karagandy,4.6,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Kostanay,16.5,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Kyzylorda,6.0,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Mangistau,0.1,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Pavlodar,26.6,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Soltustik Kazakhstan,54.4,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Turkistan,3.1,KAZ
2011,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Shygys Kazakhstan,175.1,KAZ
2011,Percent,_L_KZ_150201_1B,,134.20000000000073,KAZ
2011,Percent,_L_KZ_150201_1B,Akmola,4.900000000000034,KAZ
2011,Percent,_L_KZ_150201_1B,Aktobe,-0.0999999999999943,KAZ
2011,Percent,_L_KZ_150201_1B,Almaty,53.30000000000018,KAZ
2011,Percent,_L_KZ_150201_1B,Atyrau,0.0,KAZ
2011,Percent,_L_KZ_150201_1B,Batys Kazakhstan,1.2999999999999972,KAZ
2011,Percent,_L_KZ_150201_1B,Zhambyl,6.0,KAZ
2011,Percent,_L_KZ_150201_1B,Karagandy,0.0,KAZ
2011,Percent,_L_KZ_150201_1B,Kostanay,1.299999999999983,KAZ
2011,Percent,_L_KZ_150201_1B,Kyzylorda,-6.5,KAZ
2011,Percent,_L_KZ_150201_1B,Mangistau,0.0999999999999943,KAZ
2011,Percent,_L_KZ_150201_1B,Pavlodar,2.9000000000000057,KAZ
2011,Percent,_L_KZ_150201_1B,Soltustik Kazakhstan,-0.8,KAZ
2011,Percent,_L_KZ_150201_1B,Turkistan,0.0,KAZ
2011,Percent,_L_KZ_150201_1B,Shygys Kazakhstan,61.700000000000045,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],,100.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Akmola,9.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Aktobe,0.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Almaty,13.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Atyrau,0.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Batys Kazakhstan,0.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Zhambyl,0.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Karagandy,4.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Kostanay,0.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Kyzylorda,3.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Mangistau,0.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Pavlodar,12.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Soltustik Kazakhstan,7.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Turkistan,4.0,KAZ
2011,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Shygys Kazakhstan,48.0,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],,12452.0,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Akmola,378.6,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Aktobe,47.2,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Almaty,1850.9,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Atyrau,15.8,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Batys Kazakhstan,104.6,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Zhambyl,2219.6,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Karagandy,155.4,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Kostanay,223.7,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Kyzylorda,3088.2,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Mangistau,122.8,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Pavlodar,249.9,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Soltustik Kazakhstan,529.4,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Turkistan,1603.4,KAZ
2011,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],Shygys Kazakhstan,1862.5,KAZ
2012,thousands hectares,_L_KZ_150201_1A,,12548.6,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Akmola,378.0,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Aktobe,47.9,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Almaty,1851.7,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Atyrau,15.8,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Batys Kazakhstan,106.1,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Zhambyl,2222.3,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Karagandy,156.0,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Kostanay,224.1,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Kyzylorda,3056.8,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Mangistau,122.8,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Pavlodar,249.3,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Soltustik Kazakhstan,529.7,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Turkistan,1614.1,KAZ
2012,thousands hectares,_L_KZ_150201_1A,Shygys Kazakhstan,1974.1,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],,412.2,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Akmola,45.4,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Aktobe,1.1,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Almaty,40.7,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Atyrau,0.5,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Batys Kazakhstan,8.3,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Zhambyl,3.4,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Karagandy,4.6,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Kostanay,15.5,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Kyzylorda,5.9,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Mangistau,0.1,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Pavlodar,27.0,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Soltustik Kazakhstan,52.0,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Turkistan,3.1,KAZ
2012,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Shygys Kazakhstan,204.6,KAZ
2012,Percent,_L_KZ_150201_1B,,96.60000000000036,KAZ
2012,Percent,_L_KZ_150201_1B,Akmola,-0.6000000000000227,KAZ
2012,Percent,_L_KZ_150201_1B,Aktobe,0.6999999999999957,KAZ
2012,Percent,_L_KZ_150201_1B,Almaty,0.7999999999999545,KAZ
2012,Percent,_L_KZ_150201_1B,Atyrau,0.0,KAZ
2012,Percent,_L_KZ_150201_1B,Batys Kazakhstan,1.5,KAZ
2012,Percent,_L_KZ_150201_1B,Zhambyl,2.700000000000273,KAZ
2012,Percent,_L_KZ_150201_1B,Karagandy,0.5999999999999943,KAZ
2012,Percent,_L_KZ_150201_1B,Kostanay,0.4000000000000057,KAZ
2012,Percent,_L_KZ_150201_1B,Kyzylorda,-31.39999999999964,KAZ
2012,Percent,_L_KZ_150201_1B,Mangistau,0.0,KAZ
2012,Percent,_L_KZ_150201_1B,Pavlodar,-0.5999999999999943,KAZ
2012,Percent,_L_KZ_150201_1B,Soltustik Kazakhstan,0.3,KAZ
2012,Percent,_L_KZ_150201_1B,Turkistan,10.699999999999818,KAZ
2012,Percent,_L_KZ_150201_1B,Shygys Kazakhstan,111.59999999999992,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],,100.0,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Akmola,9.0,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Aktobe,0.0,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Almaty,13.0,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Atyrau,0.0,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Batys Kazakhstan,0.0,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Zhambyl,0.0,KAZ
2012,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Karagandy,4.0,KAZ
