Year,UNIT_MEASURE,Value,M49_country_code
2012,as a percentage to the previous year,105.5,KAZ
2013,as a percentage to the previous year,91.9,KAZ
2014,as a percentage to the previous year,95.0,KAZ
2015,as a percentage to the previous year,76.4,KAZ
2016,as a percentage to the previous year,90.1,KAZ
2017,as a percentage to the previous year,123.1,KAZ
2018,as a percentage to the previous year,101.1,KAZ
2019,as a percentage to the previous year,100.5,KAZ
2020,as a percentage to the previous year,97.2,KAZ
