Year,UNIT_MEASURE,Regions,Area,Sex,Value,M49_country_code
2011,per 100000 population,Mangistau,urban,,11.12,KAZ
2011,per 100000 population,Ontustik Kazakhstan,urban,,10.23,KAZ
2011,per 100000 population,Pavlodar,urban,,25.33,KAZ
2011,per 100000 population,Soltustik Kazakhstan,urban,,12.57,KAZ
2011,per 100000 population,Shygys Kazakhstan,urban,,30.25,KAZ
2011,per 100000 population,Nur-Sultan city,urban,,11.81,KAZ
2011,per 100000 population,Almaty city,urban,,8.24,KAZ
2011,per 100000 population,,rural,,23.93,KAZ
2011,per 100000 population,Akmola,rural,,41.26,KAZ
2011,per 100000 population,Aktobe,rural,,20.31,KAZ
2011,per 100000 population,Almaty,rural,,19.94,KAZ
2011,per 100000 population,Atyrau,rural,,14.64,KAZ
2011,per 100000 population,Batys Kazakhstan,rural,,40.08,KAZ
2011,per 100000 population,Zhambyl,rural,,16.23,KAZ
2011,per 100000 population,Karagandy,rural,,37.89,KAZ
2011,per 100000 population,Kostanay,rural,,50.26,KAZ
2011,per 100000 population,Kyzylorda,rural,,8.09,KAZ
2011,per 100000 population,Mangistau,rural,,10.15,KAZ
2011,per 100000 population,Ontustik Kazakhstan,rural,,10.96,KAZ
2011,per 100000 population,Pavlodar,rural,,46.68,KAZ
2011,per 100000 population,Soltustik Kazakhstan,rural,,20.98,KAZ
2011,per 100000 population,Shygys Kazakhstan,rural,,46.03,KAZ
2011,per 100000 population,,,Male,35.42,KAZ
2011,per 100000 population,Akmola,,Male,59.15,KAZ
2011,per 100000 population,Aktobe,,Male,30.03,KAZ
2011,per 100000 population,Almaty,,Male,34.69,KAZ
2011,per 100000 population,Atyrau,,Male,24.68,KAZ
2011,per 100000 population,Batys Kazakhstan,,Male,57.37,KAZ
2011,per 100000 population,Zhambyl,,Male,29.62,KAZ
2011,per 100000 population,Karagandy,,Male,50.94,KAZ
2011,per 100000 population,Kostanay,,Male,72.19,KAZ
2011,per 100000 population,Kyzylorda,,Male,12.48,KAZ
2011,per 100000 population,Mangistau,,Male,14.7,KAZ
2011,per 100000 population,Ontustik Kazakhstan,,Male,16.51,KAZ
2011,per 100000 population,Pavlodar,,Male,54.08,KAZ
2011,per 100000 population,Soltustik Kazakhstan,,Male,30.07,KAZ
2011,per 100000 population,Shygys Kazakhstan,,Male,65.41,KAZ
