Year,Regions,Value,M49_country_code
2011,,0.49,KAZ
2012,,0.44,KAZ
2012,Akmola,0.83,KAZ
2012,Aktobe,2.63,KAZ
2012,Almaty,0.17,KAZ
2012,Atyrau,1.92,KAZ
2012,Batys Kazakhstan,3.28,KAZ
2012,Zhambyl,1.0,KAZ
2012,Karagandy,4.54,KAZ
2012,Kostanay,0.04,KAZ
2012,Kyzylorda,6.55,KAZ
2012,Mangistau,2.65,KAZ
2012,Turkistan,0.12,KAZ
2012,Pavlodar,7.39,KAZ
2012,Soltustik Kazakhstan,0.29,KAZ
2012,Shygys Kazakhstan,0.96,KAZ
2012,Nur-Sultan city,0.06,KAZ
2012,Almaty city,0.23,KAZ
2013,,0.46,KAZ
2013,Akmola,0.51,KAZ
2013,Aktobe,2.31,KAZ
2013,Almaty,0.2,KAZ
2013,Atyrau,1.92,KAZ
2013,Batys Kazakhstan,3.31,KAZ
2013,Zhambyl,0.31,KAZ
2013,Karagandy,3.77,KAZ
2013,Kostanay,0.03,KAZ
2013,Kyzylorda,5.69,KAZ
2013,Mangistau,2.79,KAZ
2013,Turkistan,0.11,KAZ
2013,Pavlodar,6.58,KAZ
2013,Soltustik Kazakhstan,0.37,KAZ
2013,Shygys Kazakhstan,0.88,KAZ
2013,Nur-Sultan city,0.04,KAZ
2013,Almaty city,0.14,KAZ
2014,,0.42,KAZ
2014,Akmola,0.67,KAZ
2014,Aktobe,3.55,KAZ
2014,Almaty,0.21,KAZ
2014,Atyrau,1.53,KAZ
2014,Batys Kazakhstan,5.15,KAZ
2014,Zhambyl,1.0,KAZ
2014,Karagandy,3.54,KAZ
2014,Kostanay,0.01,KAZ
2014,Kyzylorda,5.08,KAZ
2014,Mangistau,4.07,KAZ
2014,Turkistan,0.47,KAZ
2014,Pavlodar,6.49,KAZ
2014,Soltustik Kazakhstan,0.54,KAZ
2014,Shygys Kazakhstan,0.82,KAZ
2014,Nur-Sultan city,0.2,KAZ
2014,Almaty city,0.12,KAZ
2015,,0.42,KAZ
2015,Akmola,0.39,KAZ
2015,Aktobe,3.43,KAZ
2015,Almaty,0.13,KAZ
2015,Atyrau,1.42,KAZ
2015,Batys Kazakhstan,5.46,KAZ
2015,Zhambyl,0.37,KAZ
2015,Karagandy,2.7,KAZ
2015,Kostanay,0.05,KAZ
2015,Kyzylorda,5.4,KAZ
2015,Mangistau,4.14,KAZ
2015,Turkistan,0.71,KAZ
2015,Pavlodar,6.22,KAZ
2015,Soltustik Kazakhstan,0.42,KAZ
2015,Shygys Kazakhstan,0.8,KAZ
2015,Nur-Sultan city,0.1,KAZ
2015,Almaty city,0.12,KAZ
2016,,0.42,KAZ
2016,Akmola,0.45,KAZ
2016,Aktobe,3.41,KAZ
2016,Almaty,0.14,KAZ
2016,Atyrau,1.46,KAZ
2016,Batys Kazakhstan,5.68,KAZ
2016,Zhambyl,0.24,KAZ
2016,Karagandy,2.69,KAZ
2016,Kostanay,0.02,KAZ
2016,Kyzylorda,5.96,KAZ
2016,Mangistau,4.15,KAZ
2016,Turkistan,0.7,KAZ
2016,Pavlodar,6.31,KAZ
2016,Soltustik Kazakhstan,0.22,KAZ
2016,Shygys Kazakhstan,0.84,KAZ
2016,Nur-Sultan city,0.09,KAZ
2016,Almaty city,0.11,KAZ
2017,,0.42,KAZ
2017,Akmola,0.43,KAZ
2017,Aktobe,3.69,KAZ
2017,Almaty,0.15,KAZ
2017,Atyrau,1.4,KAZ
2017,Batys Kazakhstan,5.54,KAZ
2017,Zhambyl,0.22,KAZ
2017,Karagandy,2.84,KAZ
2017,Kostanay,0.01,KAZ
2017,Kyzylorda,5.96,KAZ
2017,Mangistau,4.61,KAZ
2017,Turkistan,0.68,KAZ
2017,Pavlodar,6.1,KAZ
2017,Soltustik Kazakhstan,0.3,KAZ
2017,Shygys Kazakhstan,0.83,KAZ
2017,Nur-Sultan city,0.1,KAZ
2017,Almaty city,0.12,KAZ
2018,,0.37,KAZ
2018,Akmola,0.3,KAZ
2018,Aktobe,2.98,KAZ
2018,Almaty,0.08,KAZ
2018,Atyrau,1.13,KAZ
2018,Batys Kazakhstan,6.32,KAZ
2018,Zhambyl,0.39,KAZ
2018,Karagandy,2.4,KAZ
2018,Kostanay,0.02,KAZ
2018,Kyzylorda,5.42,KAZ
2018,Mangistau,4.75,KAZ
2018,Turkistan,0.33,KAZ
2018,Pavlodar,7.12,KAZ
2018,Soltustik Kazakhstan,0.06,KAZ
2018,Shygys Kazakhstan,0.79,KAZ
2018,Nur-Sultan city,0.07,KAZ
2018,Almaty city,0.09,KAZ
2019,,0.34,KAZ
2019,Akmola,0.27,KAZ
2019,Aktobe,2.99,KAZ
2019,Almaty,0.08,KAZ
2019,Atyrau,0.78,KAZ
2019,Batys Kazakhstan,5.41,KAZ
2019,Zhambyl,0.34,KAZ
2019,Karagandy,2.03,KAZ
2019,Kostanay,0.01,KAZ
2019,Kyzylorda,6.54,KAZ
2019,Mangistau,3.64,KAZ
2019,Turkistan,0.26,KAZ
2019,Pavlodar,5.26,KAZ
2019,Soltustik Kazakhstan,0.01,KAZ
2019,Shygys Kazakhstan,1.04,KAZ
2019,Nur-Sultan city,0.06,KAZ
2019,Almaty city,0.11,KAZ
