Year,UNIT_MEASURE,Value,M49_country_code
2010,Percent,1.1,KAZ
2011,Percent,1.1,KAZ
2012,Percent,1.2,KAZ
2013,Percent,1.5,KAZ
2014,Percent,1.4,KAZ
2015,Percent,1.2,KAZ
2016,Percent,1.2,KAZ
2017,Percent,1.3,KAZ
2018,Percent,1.4,KAZ
2019,Percent,1.7,KAZ
2020,Percent,2.0,KAZ
