Year,UNIT_MEASURE,Value,M49_country_code
2010,Percent,14.4,KAZ
2011,Percent,11.6,KAZ
2012,Percent,12.3,KAZ
2013,Percent,12.3,KAZ
2014,Percent,14.3,KAZ
2015,Percent,22.1,KAZ
2016,Percent,24.3,KAZ
2017,Percent,24.8,KAZ
2018,Percent,24.9,KAZ
2019,Percent,23.7,KAZ
2020,Percent,29.6,KAZ
2021,Percent,27.4,KAZ
