Year,UNIT_MEASURE,Value,M49_country_code
2010,Percent,21.4,KAZ
2011,Percent,23.7,KAZ
2012,Percent,26.0,KAZ
2013,Percent,28.2,KAZ
2014,Percent,23.2,KAZ
2015,Percent,30.8,KAZ
2016,Percent,36.7,KAZ
2017,Percent,35.6,KAZ
2018,Percent,36.0,KAZ
2019,Percent,37.8,KAZ
2020,Percent,31.5,KAZ
