Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Age,Regions,Value,M49_country_code
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Soltustik Kazakhstan,28.886342186868006,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Soltustik Kazakhstan,3.719832816502629,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Turkistan,18.55739451179479,KAZ
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Turkistan,13.599361250158362,KAZ
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Turkistan,40.9504055531167,KAZ
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Turkistan,43.99448459546335,KAZ
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Turkistan,11.1692834393497,KAZ
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Turkistan,15.313791752231056,KAZ
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Turkistan,20.02339332907108,KAZ
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Turkistan,14.018319864000494,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Turkistan,2.8967658869872395,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Shygys Kazakhstan,14.84530006923104,KAZ
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Shygys Kazakhstan,20.93821386425888,KAZ
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Shygys Kazakhstan,51.54708932843981,KAZ
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Shygys Kazakhstan,43.01157339742549,KAZ
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Shygys Kazakhstan,9.372394902941526,KAZ
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Shygys Kazakhstan,5.470027174207239,KAZ
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Shygys Kazakhstan,20.17603689629413,KAZ
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Shygys Kazakhstan,17.19553520196607,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Shygys Kazakhstan,2.3157621228360776,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Nur-Sultan city,29.116626205069743,KAZ
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Nur-Sultan city,58.58194290614169,KAZ
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Nur-Sultan city,81.40430168994962,KAZ
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Nur-Sultan city,66.34660045017685,KAZ
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Nur-Sultan city,42.11386616170639,KAZ
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Nur-Sultan city,47.29000678838115,KAZ
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Nur-Sultan city,51.52470613455286,KAZ
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Nur-Sultan city,50.11254421379828,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Nur-Sultan city,19.52731430204724,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Almaty city,58.2647278858238,KAZ
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Almaty city,14.387030618252425,KAZ
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Almaty city,42.261610021794986,KAZ
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Almaty city,22.06011361465372,KAZ
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Almaty city,4.796066765179487,KAZ
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Almaty city,6.11468295897162,KAZ
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Almaty city,12.10927904991013,KAZ
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Almaty city,5.755202139729649,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Almaty city,2.0383576171334328,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15-24 years old,Shymkent city,20.793399786609644,KAZ
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15-24 years old,Shymkent city,7.186347715501623,KAZ
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15-24 years old,Shymkent city,31.619929948207144,KAZ
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15-24 years old,Shymkent city,24.844230673591326,KAZ
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15-24 years old,Shymkent city,8.007644597273238,KAZ
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15-24 years old,Shymkent city,15.809964974103572,KAZ
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15-24 years old,Shymkent city,18.06853139897551,KAZ
2015,Percent,Transferring files between computers and other devices,Age 15-24 years old,Shymkent city,10.882183683473889,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15-24 years old,Shymkent city,2.669214865757746,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,,25.313156102543765,KAZ
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,,17.799810171106323,KAZ
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,,46.157484718836415,KAZ
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,,34.13156398713004,KAZ
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,,11.163039450833647,KAZ
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,,11.945806952837854,KAZ
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,,16.716882940355724,KAZ
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,,18.158221712603297,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,,3.035041029571563,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Akmola,33.55498730192671,KAZ
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Akmola,12.439204359233663,KAZ
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Akmola,36.77498733698005,KAZ
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Akmola,44.62080170499458,KAZ
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Akmola,20.12342281867432,KAZ
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Akmola,12.41904868733996,KAZ
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Akmola,21.801952120639584,KAZ
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Akmola,20.452398437322,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Akmola,2.41009255835067,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Aktobe,26.028413025009943,KAZ
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Aktobe,12.700088555401145,KAZ
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Aktobe,45.45396510491605,KAZ
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Aktobe,28.34984130413788,KAZ
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Aktobe,12.1052450660237,KAZ
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Aktobe,12.78569756611782,KAZ
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Aktobe,12.942019947063184,KAZ
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Aktobe,19.21684942471727,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Aktobe,1.871285297348085,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Almaty,21.643120045710702,KAZ
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Almaty,17.249773041705218,KAZ
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Almaty,48.16649602496687,KAZ
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Almaty,30.35955124616781,KAZ
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Almaty,6.558804676646064,KAZ
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Almaty,8.400502353695288,KAZ
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Almaty,8.505497756520882,KAZ
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Almaty,16.844873642963424,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Almaty,1.805369847756666,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Atyrau,18.647869034461223,KAZ
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Atyrau,10.889756793862103,KAZ
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Atyrau,49.46546195288531,KAZ
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Atyrau,23.47035878729004,KAZ
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Atyrau,3.783399334863181,KAZ
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Atyrau,3.423075588685735,KAZ
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Atyrau,12.238864410223876,KAZ
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Atyrau,20.99121246214618,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Atyrau,3.226310076674117,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Batys Kazakhstan,24.196782962542944,KAZ
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Batys Kazakhstan,22.521346853006904,KAZ
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Batys Kazakhstan,76.56390714118942,KAZ
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Batys Kazakhstan,46.03874120276175,KAZ
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Batys Kazakhstan,12.261724091924886,KAZ
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Batys Kazakhstan,15.785622560955272,KAZ
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Batys Kazakhstan,21.87718888629465,KAZ
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Batys Kazakhstan,16.853799072746074,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Batys Kazakhstan,7.39176478436343,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Zhambyl,11.491325905819552,KAZ
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Zhambyl,6.101514685130181,KAZ
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Zhambyl,20.906838935949352,KAZ
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Zhambyl,27.02727552558255,KAZ
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Zhambyl,5.929885016116932,KAZ
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Zhambyl,9.34182420484694,KAZ
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Zhambyl,14.0814947771546,KAZ
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Zhambyl,6.562702794178983,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Zhambyl,0.8692083315011068,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Karagandy,32.07563938726595,KAZ
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Karagandy,25.087144522384403,KAZ
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Karagandy,52.86337347999933,KAZ
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Karagandy,30.08389823690213,KAZ
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Karagandy,16.533041947247394,KAZ
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Karagandy,14.12078053051976,KAZ
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Karagandy,19.287519856602124,KAZ
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Karagandy,24.87056956873986,KAZ
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Karagandy,1.527251023000915,KAZ
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Kostanay,27.79827902503506,KAZ
