Year,UNIT_MEASURE,Area,Regions,Value,M49_country_code
2018,Percent,urban,,68.7,KAZ
2018,Percent,rural,,8.6,KAZ
2019,Percent,urban,,70.5,KAZ
2019,Percent,rural,,8.8,KAZ
