Year,UNIT_MEASURE,Value,M49_country_code
2014,million US dollars,33.37,KAZ
2015,million US dollars,42.9,KAZ
2016,million US dollars,30.8,KAZ
2017,million US dollars,35.2,KAZ
2018,million US dollars,44.15,KAZ
2019,million US dollars,34.21,KAZ
2020,million US dollars,37.1,KAZ
