Year,UNIT_MEASURE,Value,M49_country_code
2010,Percent,59.2,KAZ
2011,Percent,73.2,KAZ
2012,Percent,85.7,KAZ
2013,Percent,91.5,KAZ
2014,Percent,96.0,KAZ
2015,Percent,97.99,KAZ
2016,Percent,100.0,KAZ
2017,Percent,100.0,KAZ
2018,Percent,100.0,KAZ
2019,Percent,100.0,KAZ
2020,Percent,100.0,KAZ
2021,Percent,100.0,KAZ
