Year,UNIT_MEASURE,Value,M49_country_code
2010,Percent,17.4,KAZ
2011,Percent,18.1,KAZ
2012,Percent,17.5,KAZ
2013,Percent,18.5,KAZ
2014,Percent,17.8,KAZ
2015,Percent,19.3,KAZ
2016,Percent,19.1,KAZ
2017,Percent,17.1,KAZ
2018,Percent,22.4,KAZ
2019,Percent,23.2,KAZ
2020,Percent,21.6,KAZ
2021,Percent,20.2,KAZ
