Year,UNIT_MEASURE,Value,M49_country_code
2010,Percent,34.3,KAZ
2011,Percent,32.7,KAZ
2012,Percent,32.7,KAZ
2013,Percent,30.7,KAZ
2014,Percent,31.4,KAZ
2015,Percent,32.2,KAZ
2016,Percent,30.3,KAZ
2017,Percent,30.5,KAZ
2018,Percent,30.5,KAZ
2019,Percent,30.5,KAZ
2020,Percent,31.2,KAZ
2021,Percent,31.2,KAZ
