Year,UNIT_MEASURE,SERIES,Value,M49_country_code
2012,Percent,GSM standard (percentage of coverage by cellular network),42.1,KAZ
2013,Percent,GSM standard (percentage of coverage by cellular network),85.9,KAZ
2014,Percent,GSM standard (percentage of coverage by cellular network),91.6,KAZ
2014,Percent,UMTS standard (percentage of coverage by 3G mobile network),85.0,KAZ
2015,Percent,GSM standard (percentage of coverage by cellular network),96.6,KAZ
2015,Percent,UMTS standard (percentage of coverage by 3G mobile network),72.7,KAZ
2016,Percent,GSM standard (percentage of coverage by cellular network),96.1,KAZ
2016,Percent,UMTS standard (percentage of coverage by 3G mobile network),86.8,KAZ
2017,Percent,GSM standard (percentage of coverage by cellular network),96.6,KAZ
2017,Percent,UMTS standard (percentage of coverage by 3G mobile network),87.5,KAZ
2018,Percent,GSM standard (percentage of coverage by cellular network),96.6,KAZ
2018,Percent,UMTS standard (percentage of coverage by 3G mobile network),87.9,KAZ
2019,Percent,GSM standard (percentage of coverage by cellular network),98.0,KAZ
2019,Percent,UMTS standard (percentage of coverage by 3G mobile network),88.8,KAZ
2020,Percent,GSM standard (percentage of coverage by cellular network),98.0,KAZ
2020,Percent,UMTS standard (percentage of coverage by 3G mobile network),93.4,KAZ
