Year,UNIT_MEASURE,Value,M49_country_code
2015,Percent,9.7,KAZ
2016,Percent,29.01,KAZ
2017,Percent,39.82,KAZ
2018,Percent,49.96,KAZ
2019,Percent,41.7,KAZ
2020,Percent,34.7,KAZ
