Year,UNIT_MEASURE,Value,M49_country_code
2015,Percent,55.0,KAZ
2016,Percent,56.0,KAZ
2017,Percent,57.0,KAZ
2018,Percent,61.0,KAZ
2019,Percent,69.0,KAZ
2020,Percent,47.1,KAZ
