Year,Regions,Value,M49_country_code
2018,Akmola,35.9,KAZ
2018,Aktobe,5.1,KAZ
2018,Almaty,14.8,KAZ
2018,Atyrau,5.9,KAZ
2018,Batys Kazakhstan,7.6,KAZ
2018,Zhambyl,8.0,KAZ
2018,Karagandy,26.2,KAZ
2018,Kostanay,8.7,KAZ
2018,Kyzylorda,10.7,KAZ
2018,Mangistau,25.1,KAZ
2018,Pavlodar,8.5,KAZ
2018,Soltustik Kazakhstan,14.8,KAZ
2018,Turkistan,10.3,KAZ
2018,Shygys Kazakhstan,14.0,KAZ
2018,Nur-Sultan city,29.0,KAZ
2018,Almaty city,8.9,KAZ
2018,Shymkent city,19.6,KAZ
2019,,13.7,KAZ
2019,Akmola,17.2,KAZ
2019,Aktobe,4.9,KAZ
2019,Almaty,25.4,KAZ
2019,Atyrau,17.8,KAZ
2019,Batys Kazakhstan,7.6,KAZ
2019,Zhambyl,11.8,KAZ
2019,Karagandy,39.5,KAZ
2019,Kostanay,26.6,KAZ
2019,Kyzylorda,5.3,KAZ
2019,Mangistau,4.9,KAZ
2019,Pavlodar,0.0,KAZ
2019,Soltustik Kazakhstan,0.0,KAZ
2019,Turkistan,9.3,KAZ
2019,Shygys Kazakhstan,23.4,KAZ
2019,Nur-Sultan city,3.3,KAZ
2019,Almaty city,15.4,KAZ
2019,Shymkent city,7.1,KAZ
