Year,UNIT_MEASURE,Value,M49_country_code
2010,Percent,21.3,KAZ
2011,Percent,21.3,KAZ
2012,Percent,21.3,KAZ
2013,Percent,21.4,KAZ
2014,Percent,21.4,KAZ
2015,Percent,21.4,KAZ
2016,Percent,21.5,KAZ
2017,Percent,21.1,KAZ
2018,Percent,21.8,KAZ
2019,Percent,21.8,KAZ
2020,Percent,22.0,KAZ
2021,Percent,22.4,KAZ
