Year,UNIT_MEASURE,Value,M49_country_code
2015,Percent,42.98,KAZ
2016,Percent,46.35,KAZ
2017,Percent,47.38,KAZ
2018,Percent,49.68,KAZ
2019,Percent,51.47,KAZ
2020,Percent,53.07,KAZ
2021,Percent,57.67,KAZ
